--------- beginning of main
04-06 05:07:47.508 16107 16107 D BLE     : Scan started (legacy method)
04-06 05:07:47.515 16107 16107 D BLE     : Legacy scanner started, isScanning=true
04-06 05:07:47.560 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:47.564 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:47.587 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:47.603 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:47.652 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:47.675 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:47.698 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:47.718 16107 16107 D BLE     : Found: Unknown (0D:53:2A:EC:C9:DF)
04-06 05:07:47.725 16107 16107 D BLE     : Found: [TV] Samsung Q60 Series (55) (D0:03:DF:8E:81:83)
04-06 05:07:47.726 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:47.808 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:47.820 16107 16107 D BLE     : Found: Unknown (0D:53:2A:EC:C9:DF)
04-06 05:07:47.835 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:47.853 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:47.885 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:47.905 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:47.924 16107 16107 D BLE     : Found: Unknown (0D:53:2A:EC:C9:DF)
04-06 05:07:47.949 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:47.959 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:47.965 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:47.990 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.028 16107 16107 D BLE     : Found: Unknown (0D:53:2A:EC:C9:DF)
04-06 05:07:48.048 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.068 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.096 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.116 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.144 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.151 16107 16107 D BLE     : Found: Unknown (78:BD:BC:02:4E:67)
04-06 05:07:48.154 16107 16107 D BLE     : Found: Unknown (0D:53:2A:EC:C9:DF)
04-06 05:07:48.156 16107 16107 D BLE     : Found: Bosch GLM50C x9370 (00:13:43:D5:21:5D)
04-06 05:07:48.160 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.174 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.183 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.193 16107 16107 D BLE     : Found: [TV] Samsung Q60 Series (55) (D0:03:DF:8E:81:83)
04-06 05:07:48.206 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.229 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.252 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.258 16107 16107 D BLE     : Found: Unknown (0D:53:2A:EC:C9:DF)
04-06 05:07:48.270 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.280 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.349 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.368 16107 16107 D BLE     : Found: Unknown (0D:53:2A:EC:C9:DF)
04-06 05:07:48.370 16107 16107 D BLE     : Found: [TV] Samsung Q60 Series (55) (D0:03:DF:8E:81:83)
04-06 05:07:48.397 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.399 16107 16107 D BLE     : Found: OBDII (5A:C8:04:05:8B:59)
04-06 05:07:48.403 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.420 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.462 16107 16107 D BLE     : Found: Unknown (78:BD:BC:02:4E:67)
04-06 05:07:48.468 16107 16107 D BLE     : Found: Unknown (0D:53:2A:EC:C9:DF)
04-06 05:07:48.471 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.496 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.500 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.526 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.571 16107 16107 D BLE     : Found: Unknown (0D:53:2A:EC:C9:DF)
04-06 05:07:48.609 16107 16107 D BLE     : Found: Unknown (78:BD:BC:02:4E:67)
04-06 05:07:48.655 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.681 16107 16107 D BLE     : Found: Unknown (0D:53:2A:EC:C9:DF)
04-06 05:07:48.778 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.790 16107 16107 D BLE     : Found: Unknown (0D:53:2A:EC:C9:DF)
04-06 05:07:48.795 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.811 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.955 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.964 16107 16107 D BLE     : Found: Bosch GLM50C x9370 (00:13:43:D5:21:5D)
04-06 05:07:48.975 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:48.998 16107 16107 D BLE     : Found: Unknown (0D:53:2A:EC:C9:DF)
04-06 05:07:49.007 16107 16107 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 05:07:55.589 16107 16107 D BLE     : === Connect attempt to: 00:13:43:D5:21:5D ===
04-06 05:07:55.593 16107 16107 D BLE     : Scan stopped
04-06 05:07:55.595 16107 16107 D BLE     : Device name: Bosch GLM50C x9370, type: 3
04-06 05:07:55.598 16107 16107 D BLE     : connectGatt called successfully
04-06 05:07:56.382 16107 16286 D BLE     : onConnectionStateChange: status=0, newState=2
04-06 05:07:56.382 16107 16286 D BLE     : Connected!
04-06 05:07:56.403 16107 16286 D BLE     : === onServicesDiscovered: status=0 ===
04-06 05:07:56.403 16107 16286 D BLE     : Service: 00001800-0000-1000-8000-00805f9b34fb
04-06 05:07:56.403 16107 16286 D BLE     :   Characteristic: 00002a00-0000-1000-8000-00805f9b34fb
04-06 05:07:56.403 16107 16286 D BLE     :   Characteristic: 00002a01-0000-1000-8000-00805f9b34fb
04-06 05:07:56.403 16107 16286 D BLE     : Service: 00005301-0000-0041-5253-534f46540000
04-06 05:07:56.403 16107 16286 D BLE     :   Characteristic: 00004301-0000-0041-5253-534f46540000
04-06 05:07:56.403 16107 16286 D BLE     : Service found
04-06 05:07:56.403 16107 16286 D BLE     : Characteristic found
04-06 05:07:56.403 16107 16286 D BLE     : Properties: 0x28
04-06 05:07:56.404 16107 16286 D BLE     : Supports Notify: false, Indicate: true
04-06 05:07:56.408 16107 16286 D BLE     : Attempting to write descriptor...
04-06 05:07:56.447 16107 16344 D BLE     : === onDescriptorWrite: status=168 ===
